GTIN/UPC,Price,Branded Food Category,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,package_weight,ingredients
823111,7.99,Alcohol,,118.0,ml,,,"TOMATO PUREE (WATER, TOMATO PASTE), IODIZED SALT, CITRIC ACID, SPICES, SUGAR, DISTILLED VINEGAR, CALM BROTH (CLAMS, MALTODEXTRIN, CORN, SUGAR, SALT), ONION POWDER, GARLIC POWDER, TOMATO PUREE (WATER, TOMATO PASTE), IODIZED SALT, CITRIC ACID, SPICES, SUGAR, DISTILLED VINEGAR, CALM BROTH (CLAMS, MALTODEXTRIN, CORN, SUGAR, SALT), ONION POWDER, GARLIC POWDER."
827560,4.49,Cookies & Biscuits,,26.0,g,,,"CANE SUGAR, GRAIN BLEND (CORN FLOUR, SOY FLOUR, RICE FLOUR, CORNSTARCH, POTATO FLOUR, TAPIOCA STARCH, POTATO STARCH, XANTHAN GUM, ARABIC GUM, CARRAGEENAN), PALM OIL, COCOA POWDER (PROCESSED WITH ALKALI), EXPELLER PRESSED CANOLA OIL, INVERT SYRUP, COCOA POWDER, EGG WHITE POWDER, SEA SALT, BAKING SODA, VANILLA BEAN SEEDS, SOY LECITHIN (AN EMULSIFIER), NATURAL FLAVORS, AMMONIUM BICARBONATE. "
868631,4.69,"Pepperoni, Salami & Cold Cuts",,56.0,g,,,"PORK, WATER, VINEGAR, KOSHER SALT, TURBINADO SUGAR, MOLASSES, *CELERY POWDER, SPICE EXTRACTIVES."
907040,2.29,Cereal,,55.0,g,,,"WHOLE WHEAT FLOUR, BROWN RICE, MILLED CANE SUGAR, RICE FLOUR, WHOLE ROLLED OATS, CHERRY PUREE (CHERRIES, SUGAR, NATURAL FLAVOR, CITRIC ACID, ELDERBERRY JUICE CONCENTRATE [FOR COLOR], FRUIT JUICE [FOR COLOR]), VEGETABLE OIL (CANOLA AND/OR SAFFLOWER AND/OR SUNFLOWER OIL), FREEZE DRIED BLUEBERRIES, FREEZE DRIED POMEGRANATE, SALT HONEY, CORNSTARCH, NATURAL FLAVOR, BARLEY MALT SYRUP, ANNATTO (FOR COLOR), PURPLE CARROT JUICE (FOR COLOR)."
908597,1.99,Canned Soup,"NOT A SIGNIFICANT SOURCE OF TRANS FAT, DIETARY FIBER, VITAMIN A, VITAMIN C, CALCIUM AND IRON.",9.600000381469728,g,,4.06 oz/115 g,"CHICKEN STOCK, MALTODEXTRIN (CORN), NATURAL FLAVOR, CHICKEN FAT, SUGAR, SALT, YEAST EXTRACT, XANTHAN GUM."
909938,2.99,Cookies & Biscuits,,28.0,g,,,"WHEAT FLOUR, BROWN SUGAR, NON HYDROGENATED SHORTENING (PALM FRUIT OIL), MOLASSES, PASTEURIZED WHOLE EGGS, MINCED CANDIED GINGER (GINGER, CANE SUGAR), GROUND GINGER, CANDIED GINGER PULP(GINGER, CANE SUGAR), BAKING SODA, CINNAMON, SALT."
910149,3.49,Other Soups,,240.0,ml,,,"WATER, ORGANIC TOMATO PASTE, ORGANIC CREAM, ORGANIC RICE STARCH, ORGANIC CANE SUGAR, POTASSIUM CHLORIDE, SEA SALT, ORGANIC CHEESE FLAVOR (ORGANIC CHEDDAR CHEESE [PASTEURIZED MILK, CULTURES, SALT, ENZYMES], WATER, SALT, SODIUM CITRATE, XANTHAN GUM), ORGANIC GARLIC POWDER, ORGANIC ONION POWDER, SODIUM CITRATE."
911924,5.49,Wholesome Snacks,,40.0,g,,,"DARK CHOCOLATE (CHOCOLATE LIQUOR, SUGAR, COCOA BUTTER, COCOA POWDER, SOY LECITHIN, VANILLA EXTRACT), DRIED CHERRIES (CHERRIES, SUGAR, SUNFLOWER OIL), DEXTRIN (CORN), AND FOOD GLAZE, DARK SWEET CHERRIES."
913690,2.29,"Oriental, Mexican & Ethnic Sauces",,15.0,g,,,"WATER, GROUND PEANUTS, COCONUT CREME (COCONUT EXTRACT, WATER GUM), ORGANIC SOY SAUCE (WATER, ORGANIC SOYBEANS, SALT, ORGANIC WHEAT, ORGANIC ALCOHOL), HONEY, GROUND CASHEWS, CHILI PEPPER PUREE (RED CHILI PEPPERS [SALT, CITRIC ACID], SPICES, SALT, WATER, SUGAR, CORN OIL, YEAST EXTRACT, JALAPENO POWDER, FLAVOR), CANOLA OIL SHALLOTS, LIME JUICE CONCENTRATE, ANCHOVY (ANCHOVY EXTRACT, SALT, SUGAR), TAMARIND CONCENTRATE, PAPRIKA, GINGER, GARLIC, CITRIC ACID, ANNATTO POWDER, XANTHAN GUM."
928908,4.49,Cookies & Biscuits,,28.0,g,9 COOKIES,,"WHEAT FLOUR, CANE SUGAR NON HYDROGENATED SHORTENING (PALM FRUIT OIL), PASTEURIZED WHOLE EGGS, BAKING SODA, NATURAL MEYER LEMON OIL NATURAL BUTTER FLAVOR, NONFAT DRY MILK, SALT NATURAL CITRUS FLAVOR."
930819,2.99,Yogurt,,227.0,g,,16 oz/1 lbs/454 g,"GRADE A PASTEURIZED SKIM MILK, CANE SUGAR, CORN STARCH, NATURAL VANILLA FLAVOR, PECTIN, LOCUST BEAN GUM, CITRIC ACID AND LIVE AND ACTIVE CULTURES: S. THERMOPHILUS, L. BULGARICUS, L. ACIDOPHILUS, BIFIDUS AND L. CASEI, CULTURE AFTER PASTEURIZATION."
931847,1.99,Chocolate,,40.0,g,,,"COCOA MASS, SUGAR, COCOA BUTTER, SOY LECITHIN, NATURAL VANILLA FLAVOR. "
932950,3.49,Breads & Buns,,56.0,g,,,"WHOLE WHEAT FLOUR, WATER, SAFFLOWER OIL, MALTED BARLEY FLOUR (WHEAT FLOUR, DEXTROSE), HONEY, YEAST, BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE), SEA SALT, CULTURED WHEAT STARCH (FOR FRESHNESS), CITRIC ACID, SOY LECITHIN, ASCORBIC ACID (VITAMIN C AS A DOUGH CONDITIONER)."
932967,3.49,Breads & Buns,,56.0,g,,,"UNBLEACHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, SAFFLOWER OIL, MALTED BARLEY FLOUR (WHEAT FLOUR, DEXTROSE), HONEY, YEAST, BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE), SEA SALT, CULTURED WHEAT STARCH FOR FRESHNESS (CITRIC ACID), SOY LECITHIN, ASCORBIC ACID (VITAMIN C AS A DOUGH CONDITIONER)."
934619,2.79,Tea Bags,,2.0,g,,,"PEPPERMINT LEAF, DECAFFEINATED GREEN TEA, ORANGE PEEL, NATURAL VANILLA FLAVOR AND NATURAL MINT FLAVOR WITH OTHER NATURAL FLAVORS, CINNAMON, MILK THISTLE, BLACKBERRY LEAVES, ROASTED CAROB, ROASTED CHICORY, VANILLA BEAN, SUGAR AND GUM ACACIA."
939966,1.19,Yogurt,,130.0,g,,4.6 oz/130 g,"LOW FAT VANILLA YOGURT (GRADE A PASTEURIZED REDUCED FAT MILK, VANILLA BLEND [NATURALLY MILLED CANE SUGAR, WATER, CORN STARCH, NATURAL FLAVOR], INULIN(DIETARY FIBER], NON FAT MILK, KOSHER GELATIN, LIVE AND ACTIVE CULTURES[S. THERMOPHILUS, L.BULGARICUS, L. ACIDOPHILUS, BIFIDUS AND L. CASEI]), TOASTED ALMONDS (DRY ROASTED BLANCHED SLICED ALMONDS)."
947985,2.99,Crackers & Biscotti,,28.0,g,,,"UNBLEACHED ENRICHED FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID], WATER, WHOLE WHEAT FLOUR, MULTIGRAIN BLEND (FLAX SEEDS, OAT BRAN, WHEAT BRAN, MILLET, ROLLED OATS, RYE MEAL, SUNFLOWER SEEDS, RYE MIDDLINGS, ORGANIC SPELT FLOUR, MALTED BARLEY FLOUR), SUNFLOWER OIL, CORNSTARCH, HONEY, YEAST, OAT FIBER, WHEAT BRAN, WHEAT GLUTEN, FERMENTED RYE FLOUR, SEA SALT, NATURAL FLAVOR, OLIVE OIL, DRY MOLASSES POWDER (MOLASSES, WHEAT STARCH), DOUGH CONDITIONER (WHEAT STARCH, ASCORBIC ACID), BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORNSTARCH, MONOCALCIUM PHOSPHATE)."
948043,1.99,Other Soups,,118.0,g,,,"FILTERED WATER, PORTABELLA MUSHROOMS, NATURAL MUSHROOMS FLAVOR BASE (MUSHROOMS, UNSALTED BUTTER [MILK], NATURAL MUSHROOM CONCENTRATE [MALTODEXTRIN], CITRIC ACID), MODIFIED POTATO STARCH, CREAM POWDER, WHEAT FLOUR, SEA SALT."
951098,14.49,Powdered Drinks,,28.0,g,,8 oz/227 g,"BITTERSWEET CHOCOLATE (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, NATURAL VANILLA FLAVOR, SOY LECITHIN [EMULSIFIER]), CANE SUGAR, COCONUT OIL, NON FAT MILK POWDER, COCOA, MALTODEXTRIN (CORN), NATURAL MINT FLAVOR, TRICALCIUM PHOSPHATE, GUAR GUM, SODIUM CASEINATE (A MILK DERIVATIVE), MONO- AND DIGLYCERIDES, DIPOTASSIUM PHOSPHATE, SILICON DIOXIDE, SALT."
952811,2.99,Crackers & Biscotti,,30.0,g,1 ONZ,,"CULTURED LOW FAT BUTTERMILK (LOWFAT MILK, SALT, CULTURE), UNBLEACHED WHEAT FLOUR, CANE SUGAR, SUNFLOWER SEEDS, RAISINS, FLAX SEED, MILLET, BAKING SODA, SEA SALT, DRIED ROSEMARY, BLACK PEPPER, CULTURED LOW FAT BUTTERMILK (LOWFAT MILK, SALT, CULTURE), UNBLEACHED WHEAT FLOUR, CANE SUGAR, SUNFLOWER SEEDS, RAISINS, FLAX SEED, MILLET, BAKING SODA, SEA SALT, DRIED ROSEMARY, BLACK PEPPER."
953412,4.49,Frozen Fruit & Fruit Juice Concentrates,,43.0,g,,,"BANANAS, CHOCOLATE (COCOA BUTTER, CANE SUGAR, CHOCOLATE LIQUOR, SOY LECITHIN, PALM OIL)."
958363,1.99,Canned Tuna,,56.0,g,2 ONZ,,"SOLID WHITE TUNA, WATER, SALT"
959742,13.25,Other Snacks,,28.0,g,1 ONZ,,"TURKEY, SUGAR, WATER, SOY SAUCE (WATER, WHEAT, SALT), APPLE CIDER VINEGAR, SALT, FLAVORINGS, PAPRIKA, NATURAL SMOKE FLAVORING, CARAMEL COLOR, TURKEY, SUGAR, WATER, SOY SAUCE (WATER, WHEAT, SOYBEAN, SALT), PINEAPPLE JUICE CONCENTRATE, APPLE CIDER VINEGAR, SALT, FLAVORINGS, PAPRIKA, NATURAL SMOKE FLAVORING, CARAMEL COLOR."
960670,2.99,Plant Based Milk,,240.0,ml,1 cup,,"FILTERED WATER, COCONUT CREAM, TRICALCIUM PHOSPHATE, CARRAGEENAN, GELLAN GUM, SEA SALT, NATURAL FLAVORS, VITAMIN A PALMITATE, ERGOCALCIFEROL (VITAMIN D2), CYANOCOBALAMIN (VITAMIN B12)."
961202,14.49,Honey,,21.0,g,,,100% RAW ORGANIC WILD HONEY.
963275,3.99,Dips & Salsa,,18.0,g,1 Tbsp,,"SUGAR, CREAM (CREAM, CARRAGEENAN), SWEETENED CONDENSED MILK (WHOLE MILK, SUGAR), GLUCOSE (TAPIOCA), BUTTER (CREAM, SALT), CHOCOLATE LIQUOR, COCOA POWDER, WATER, CULTURED DEXTROSE (MALTODEXTRIN [COLOR], CULTURED DEXTROSE [FOR FRESHNESS]), SALT., SUGAR, CREAM (CREAM, CARRAGEENAN), SWEETENED CONDENSED MILK (WHOLE MILK, SUGAR), GLUCOSE (TAPIOCA), BUTTER (CREAM, SALT), CHOCOLATE LIQUOR, COCOA POWDER, WATER, CULTURED DEXTROSE (MALTODEXTRIN [COLOR], CULTURED DEXTROSE [FOR FRESHNESS]), SALT."
969307,1.49,"Popcorn, Peanuts, Seeds & Related Snacks",,40.0,g,,,"DARK CHOCOLATE (CHOCOLATE LIQUOR [PROCESSED WITH ALKALI], SUGAR, COCOA BUTTER, COCOA POWDER, SOY LECITHIN, NATURAL EXTRACT), DRY ROASTED ALMONDS, TURBINADO SUGAR, SEA SALT."
975322,2.99,Plant Based Water,,240.0,ml,,,"ORGANIC COCONUT BASE (WATER, ORGANIC COCONUT CREAM), CALCIUM PHOSPHATE, MAGNESIUM PHOSPHATE, GUAR GUM, XANTHAN GUM, VITAMIN A ACETATE, VITAMIN D2, L-SELENOMETHIONINE (SELENIUM), ZINC OXIDE, FOLIC ACID, VITAMIN B12."
976886,3.99,Chocolate,,33.0,g,1.1 ONZ,,"HONEY, CHOCOLATE LIQUOR, OIL OF PEPPERMINT."
979153,4.49,Dips & Salsa,,28.0,g,2 Tbsp,,"LOW FAT GREEK YOGURT (GRADE A SKIM MILK, CREAM, AGAR, PECTIN, CULTURES), SPINACH, WATER CHESTNUTS, MAYONNAISE (CANOLA OIL, EGG YOLKS, WATER, WHITE WINE VINEGAR, MUSTARD POWDER, LEMON JUICE CONCENTRATE), KALE, SEASONING (DEHYDRATED ONIONS, SALT, GARLIC POWDER, CORN STARCH, MUSHROOM POWDER, DILL, CELERY), RED PEPPERS, CARROTS, GREEN ONIONS, AGAVE NECTAR, DEHYDRATED ONIONS, SEA SALT, XANTHAN GUM, GARLIC."
981866,8.99,Wholesome Snacks,,28.0,g,1 ONZ,,"COCONUT, SALT, SUGAR, COCONUT MILK, COCONUT JUICE."
984645,2.99,Other Soups,,245.0,g,1 cup,,"WATER, CHICKEN MEAT, CARROTS, CELERY, ONIONS, PASTA (ENRICHED FLOUR [DURUM SEMOLINA WHEAT FLOUR, EGG WHITE, WHOLE EGG, NIACIN, FERROUS SULFATE, THIAMIN MONONITRATE, RIBOFLAVIN AND FOLIC ACID)), NATURAL CHICKEN BROTH FLAVOR, BASE ((CHICKEN BROTH, SALT, NATURAL FLAVORS, YEAST EXTRACT, DEXTROSE, VEGETABLE JUICE CONCENTRATE [CARROT, CELERY, ONION], CARROT EXTRACT, TURMERIC EXTRACT), POTATO STARCH."
987059,2.29,Cereal,,53.0,g,1 cup,,"SOY PROTEIN CONCENTRATE, CORN SYRUP, WHOLE GRAIN FLOUR BLEND (HARD RED WHEAT, OAT GROATS, TRITICALE BERRIES, RYE BERRIES, DEHULLED BARLEY, SOFT WHITE WHEAT, SPELT BERRIES, HARD WHITE WHEAT, FLAX), EVAPORATED CANE JUICE CRYSTALS, INULIN (CHICKORY ROOT FIBER), HONEY, PUFFED RED WHEAT, ALMONDS, FLAXSEED, PUFFED BROWN RICE, RICE STARCH, ORGANIC SUNFLOWER OIL, WHOLE ROLLED OATS, BARLEY MALT EXTRACT, SALT, NATURAL FLAVORS, MIXED TOCOPHEROLS (VITAMIN E AS NATURAL ANTIOXIDANTS FOR FRESHNESS)."
990165,2.88,Chocolate,,42.0,g,12 PIECES,,"DARK CHOCOLATE (SUGAR, COCOA MASS, COCOA BUTTER, SOY LECITHIN, NATURAL VANILLA FLAVOR), PUFFED RICE (RICE FLOUR, SUGAR, BARLEY MALT EXTRACT, SALT, CALCIUM CARBONATE, RAPESEED OIL, SOY LECITHIN), DARK CHOCOLATE (SUGAR, COCOA MASS, COCOA BUTTER, SOY LECITHIN, NATURAL VANILLA FLAVOR, PUFFED RICE (RICE FLOUR, SUGAR, BARLEY MALT EXTRACT, SALT, CALCIUM CARBONATE, RAPESEED OIL, SOY LECITHIN. COCOA SOLIDS 57% MINIMUM."
11784388,4.49,Cookies & Biscuits,,30.0,g,1 ONZ,,"WHOLE WHEAT FLOUR, UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), CANE SUGAR, EXPELLER PRESSED CANOLA OIL, HONEY, SOY LECITHIN, NATURAL FLAVOR, BAKING SODA, SALT, TOPPING (CANE SUGAR, CINNAMON)."
5100000875,3.79,Ice Cream & Frozen Yogurt,,99.0,g,0.5 cup,,"SKIM MILK, CREAM, GLUCOSE SYRUP (CORN), CANE SUGAR, SWEETENED CONDENSED MILK (CONDENSED MILK, CANE SUGAR), EGG YOLKS, CARAMELIZED SUGAR (CANE SUGAR, WATER), PECTIN, SEA SALT, SOY LECITHIN, NATURAL CARAMEL FLAVOR, BAKING SODA, VANILLA EXTRACT."
41498112103,7.49,Other Meats,,112.0,g,4 ONZ,,GROUND BEEF.
227871000000,4.99,Cheese,,,,,,"PASTEURIZED MILK, CHEESE CULTURES, SALT, VEGETABLE RENNET, ANNATTO (FOR COLOR)"
