GTIN/UPC,Price,Branded Food Category,fdc_id,not_a_significant_source_of,serving_size,serving_size_unit,household_serving_fulltext,package_weight,ingredients
888653,2.99,Frozen Patties and Burgers,1185921.0,,71.0,g,,,"POTATOES, CANOLA OIL, CARROTS, GREEN BEANS, BREAD CRUMBS (WHEAT FLOUR, SUGAR, YEAST, SALT), BELL PEPPERS, ONIONS, CORN, WATER, SALT, SUGAR, SPICES, GINGER, CELLULOSE GUM, GREEN PEPPER, CITRIC ACID, TURMERIC, MUSTARD SEEDS, POTATOES, CANOLA OIL, CARROTS, GREEN BEANS, BREAD CRUMBS (WHEAT FLOUR, SUGAR, YEAST, SALT), BELL PEPPERS, ONIONS, CORN, WATER, SALT, SUGAR, SPICES, GINGER, CELLULOSE GUM, GREEN PEPPER, CITRIC ACID, TURMERIC, MUSTARD SEEDS."
900836,5.99,"Popcorn, Peanuts, Seeds & Related Snacks",1209494.0,,30.0,g,,,"ALMONDS, SUNFLOWER OIL, SEA SALT, DRIED WHOLE ROSEMARY."
908597,1.99,Canned Soup,1866521.0,"NOT A SIGNIFICANT SOURCE OF TRANS FAT, DIETARY FIBER, VITAMIN A, VITAMIN C, CALCIUM AND IRON.",9.600000381469728,g,,4.06 oz/115 g,"CHICKEN STOCK, MALTODEXTRIN (CORN), NATURAL FLAVOR, CHICKEN FAT, SUGAR, SALT, YEAST EXTRACT, XANTHAN GUM."
913690,2.29,"Oriental, Mexican & Ethnic Sauces",1207412.0,,15.0,g,,,"WATER, GROUND PEANUTS, COCONUT CREME (COCONUT EXTRACT, WATER GUM), ORGANIC SOY SAUCE (WATER, ORGANIC SOYBEANS, SALT, ORGANIC WHEAT, ORGANIC ALCOHOL), HONEY, GROUND CASHEWS, CHILI PEPPER PUREE (RED CHILI PEPPERS [SALT, CITRIC ACID], SPICES, SALT, WATER, SUGAR, CORN OIL, YEAST EXTRACT, JALAPENO POWDER, FLAVOR), CANOLA OIL SHALLOTS, LIME JUICE CONCENTRATE, ANCHOVY (ANCHOVY EXTRACT, SALT, SUGAR), TAMARIND CONCENTRATE, PAPRIKA, GINGER, GARLIC, CITRIC ACID, ANNATTO POWDER, XANTHAN GUM."
919890,5.99,Nut & Seed Butters,1856781.0,,32.0,g,,16 oz/1 lbs/454 g,RAW ALMONDS.
922357,8.99,Other Meats,1173832.0,,76.0,g,,,"INGREDIENTS: WATER, ISOLATED SOY PROTEIN, VITAL WHEAT GLUTEN, NATURAL FLAVORS, EXPELLER PRESSED CANOLA OIL, ORGANIC EVAPORATED CANE JUICE, SPICES, YEAST EXTRACT, SEA SALT, GARLIC POWDER, ONION POWDER, RED BELL PEPPER FLAKES, PARSLEY FLAKES, PEA PROTEIN, CARROT FIBER, SUNFLOWER OIL."
924665,2.99,Snacks,2699210.0,,,,,,"POPCORN, SUNFLOWER OIL, SUGAR, SALT"
930819,2.99,Yogurt,1856766.0,,227.0,g,,16 oz/1 lbs/454 g,"GRADE A PASTEURIZED SKIM MILK, CANE SUGAR, CORN STARCH, NATURAL VANILLA FLAVOR, PECTIN, LOCUST BEAN GUM, CITRIC ACID AND LIVE AND ACTIVE CULTURES: S. THERMOPHILUS, L. BULGARICUS, L. ACIDOPHILUS, BIFIDUS AND L. CASEI, CULTURE AFTER PASTEURIZATION."
934619,2.79,Tea Bags,1172894.0,,2.0,g,,,"PEPPERMINT LEAF, DECAFFEINATED GREEN TEA, ORANGE PEEL, NATURAL VANILLA FLAVOR AND NATURAL MINT FLAVOR WITH OTHER NATURAL FLAVORS, CINNAMON, MILK THISTLE, BLACKBERRY LEAVES, ROASTED CAROB, ROASTED CHICORY, VANILLA BEAN, SUGAR AND GUM ACACIA."
939966,1.19,Yogurt,1856769.0,,130.0,g,,4.6 oz/130 g,"LOW FAT VANILLA YOGURT (GRADE A PASTEURIZED REDUCED FAT MILK, VANILLA BLEND [NATURALLY MILLED CANE SUGAR, WATER, CORN STARCH, NATURAL FLAVOR], INULIN(DIETARY FIBER], NON FAT MILK, KOSHER GELATIN, LIVE AND ACTIVE CULTURES[S. THERMOPHILUS, L.BULGARICUS, L. ACIDOPHILUS, BIFIDUS AND L. CASEI]), TOASTED ALMONDS (DRY ROASTED BLANCHED SLICED ALMONDS)."
951098,14.49,Powdered Drinks,1861816.0,,28.0,g,,8 oz/227 g,"BITTERSWEET CHOCOLATE (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, NATURAL VANILLA FLAVOR, SOY LECITHIN [EMULSIFIER]), CANE SUGAR, COCONUT OIL, NON FAT MILK POWDER, COCOA, MALTODEXTRIN (CORN), NATURAL MINT FLAVOR, TRICALCIUM PHOSPHATE, GUAR GUM, SODIUM CASEINATE (A MILK DERIVATIVE), MONO- AND DIGLYCERIDES, DIPOTASSIUM PHOSPHATE, SILICON DIOXIDE, SALT."
953412,4.49,Frozen Fruit & Fruit Juice Concentrates,1191418.0,,43.0,g,,,"BANANAS, CHOCOLATE (COCOA BUTTER, CANE SUGAR, CHOCOLATE LIQUOR, SOY LECITHIN, PALM OIL)."
958363,1.99,Canned Tuna,397579.0,,56.0,g,2 ONZ,,"SOLID WHITE TUNA, WATER, SALT"
958400,3.29,Other Snacks,1350697.0,,5.0,g,,,"SEAWEED, EXPELLER PRESSED CANOLA OIL, WASABI SEASONING (MALTODEXTRIN, SALT, MODIFIED CORNSTARCH, MUSTARD OIL), SESAME OIL, SUGAR, SEA SALT."
959742,13.25,Other Snacks,397522.0,,28.0,g,1 ONZ,,"TURKEY, SUGAR, WATER, SOY SAUCE (WATER, WHEAT, SALT), APPLE CIDER VINEGAR, SALT, FLAVORINGS, PAPRIKA, NATURAL SMOKE FLAVORING, CARAMEL COLOR, TURKEY, SUGAR, WATER, SOY SAUCE (WATER, WHEAT, SOYBEAN, SALT), PINEAPPLE JUICE CONCENTRATE, APPLE CIDER VINEGAR, SALT, FLAVORINGS, PAPRIKA, NATURAL SMOKE FLAVORING, CARAMEL COLOR."
960670,2.99,Plant Based Milk,498904.0,,240.0,ml,1 cup,,"FILTERED WATER, COCONUT CREAM, TRICALCIUM PHOSPHATE, CARRAGEENAN, GELLAN GUM, SEA SALT, NATURAL FLAVORS, VITAMIN A PALMITATE, ERGOCALCIFEROL (VITAMIN D2), CYANOCOBALAMIN (VITAMIN B12)."
960700,4.99,Vegetable & Cooking Oils,1292269.0,,15.0,ml,,,ORGANIC VIRGIN COCONUT OIL.
961592,2.99,"Ketchup, Mustard, BBQ & Cheese Sauce",500084.0,,5.0,ml,1 tsp,,"WATER, HABANERO CHILIS, VINEGAR, ONION, SUGAR, GARLIC, SALT, SUNFLOWER OIL, XANTHAN GUM."
969307,1.49,"Popcorn, Peanuts, Seeds & Related Snacks",1191758.0,,40.0,g,,,"DARK CHOCOLATE (CHOCOLATE LIQUOR [PROCESSED WITH ALKALI], SUGAR, COCOA BUTTER, COCOA POWDER, SOY LECITHIN, NATURAL EXTRACT), DRY ROASTED ALMONDS, TURBINADO SUGAR, SEA SALT."
970747,2.99,Cheese,1188377.0,,30.0,g,,,"FILTERED WATER, COCONUT OIL, MID-OLEIC SUNFLOWER OIL, SOY PROTEIN CONCENTRATE, CORNSTARCH, SEA SALT, TRICALCIUM PHOSPHATE, NATURAL FLAVORS, XANTHAN GUM, LOCUST BEAN GUM, GUAR GUM, VEGAN CULTURE, LACTIC ACID (NON-DAIRY)."
975322,2.99,Plant Based Water,1292268.0,,240.0,ml,,,"ORGANIC COCONUT BASE (WATER, ORGANIC COCONUT CREAM), CALCIUM PHOSPHATE, MAGNESIUM PHOSPHATE, GUAR GUM, XANTHAN GUM, VITAMIN A ACETATE, VITAMIN D2, L-SELENOMETHIONINE (SELENIUM), ZINC OXIDE, FOLIC ACID, VITAMIN B12."
984850,10.99,Vegetable & Cooking Oils,498921.0,,15.0,ml,1 Tbsp,,100% EXTRA VIRGIN OLIVE OIL
993500,12.99,Vegetable & Cooking Oils,1296631.0,,15.0,ml,,,GREEK KALAMATA EXTRA VIRGIN OLIVE OIL.
89962244,2.49,"Seasoning Mixes, Salts, Marinades & Tenderizers",392840.0,,0.8,g,0.25 tsp,,"BLACK PEPPERCORNS, SEA SALT, ONION, LEMON RIND, GARLIC, LEMON OIL, CITRIC ACID."
41498112103,7.49,Other Meats,703818.0,,112.0,g,4 ONZ,,GROUND BEEF.
227871000000,4.99,Cheese,363148.0,,,,,,"PASTEURIZED MILK, CHEESE CULTURES, SALT, VEGETABLE RENNET, ANNATTO (FOR COLOR)"
